Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,,,,,
Q8H5TYS6,journalArticle,2003,"Bailey, Scott W.; Buso, Donald C.; Likens, Gene E.",Implications of Sodium Mass Balance for Interpreting the Calcium Cycle of a Forested Ecosystem,Ecology,,1939-9170,10.1890/0012-9658(2003)084[0471:IOSMBF]2.0.CO;2,http://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9658%282003%29084%5B0471%3AIOSMBF%5D2.0.CO%3B2,"Disturbance of forest ecosystems, such as that caused by harvesting or acid deposition, is thought to alter the ability of the ecosystem to retain nutrients. Although many watershed studies have suggested depletion of available calcium (Ca) pools, interpretation of ecosystem Ca mass balance has been limited by the difficulty in obtaining mineral weathering flux estimates. While many studies have suggested that weathering flux is insufficient to maintain available soil pools, measurements of concomitant changes in available soil pools are rare. Here, we critically examined application of the Ca:Na ratio method in interpreting the long-term Ca budget of six northern hardwood watershed ecosystems at the Hubbard Brook Experimental Forest, Woodstock, New Hampshire, USA. Storage of sodium (Na) in biomass and secondary minerals and on cation exchange sites was low enough so that net ecosystem Na loss was essentially equivalent to mineral weathering flux. Mineral chemistry and mass balance considerations constrained the Ca:Na ratio of weathering products to a sufficiently narrow range that spatial and temporal changes in the ecosystem Ca:Na ratio could be interpreted as changes in contribution of available Ca pools to ecosystem loss. Depletion of available Ca pools was greater in the three experimentally manipulated watersheds with aggrading biomass compared to three reference watersheds with relatively mature forest conditions. Although accelerated loss of Ca in the first few years following disturbance has been documented by prior studies, this study suggests that excess Ca loss continues for at least three decades after treatment, with no evident trend toward the conditions shown in the reference watershed. It is not likely that changes in previously quantified Ca pools account for this sustained loss, suggesting that a previously unstudied Ca pool or release mechanism may be important in ecosystem response to disturbance. Possible sources include Ca oxalate, which is known to accumulate in forest soils, but has not been considered in the context of an ecosystem mass balance. Corresponding Editor: R. A. Dahlgren",,,,,
MVPRSQ9D,journalArticle,2018,"Song, Zhaoliang; Liu, Congqiang; Müller, Karin; Yang, Xiaomin; Wu, Yuntao; Wang, Hailong",Silicon regulation of soil organic carbon stabilization and its potential to mitigate climate change,Earth-Science Reviews,,0012-8252,10.1016/j.earscirev.2018.06.020,http://www.sciencedirect.com/science/article/pii/S0012825217305482,"The terrestrial biogeochemical silicon (Si) cycle may significantly influence the stabilization of soil organic carbon (SOC), and thus plays an important role in regulating the global carbon (C) balance and climate change. Processes involved in Si-enhanced SOC stability at a decadal or centennial scale include protection of SOC through amorphous Si and interactions of Si-iron and Si-aluminum. Strategic manipulation of the Si cycle in terrestrial ecosystems offers a new opportunity to enhance soil C sequestration. Rock powder amendment, establishment of Si-rich plant buffer strips and innovative management practices that return Si-rich biomass materials to soil can be implemented as strategies to enhance soil C sequestration through regulating the terrestrial Si cycle. However, quantifying (i) the contribution of different processes to the enhancement of soil dissolved Si and secondary Si minerals, (ii) the relative importance of different SOC stabilization mechanisms, and (iii) the potential and cost of different measures has not been attempted.",,,,,
YE7DGGTG,journalArticle,2018,"Luo, Wenting; Gao, Xubo; Zhang, Xin","Geochemical processes controlling the groundwater chemistry and fluoride contamination in the Yuncheng Basin, China—An area with complex hydrogeochemical conditions",PLOS ONE,,1932-6203,10.1371/journal.pone.0199082,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0199082,"Hydrogeochemical and stable isotope analyses and geochemical modeling were carried out to identify the major geochemical processes controlling the groundwater chemistry and fluoride contamination in the aquifers of the Yuncheng Basin, China, an area with complex hydrogeochemical conditions and severe fluoride contamination of the groundwater. The major findings of this case study include the following: 1) Cation exchange and salt effects are vital controls on the enrichment of fluoride in groundwater in the area by reducing the activity of Ca2+/F- in groundwater via ion complexation. Cation exchange increased the fluoride concentration by 2.7 mg/L when the Na/Ca molar ratio increased from 0.24 to 9.0, while the salt effect led to a ca. 5–10% increase in complex F- in groundwater due to the further dissolution of fluoride-bearing minerals in the aquifers, as suggested by a model calculation. 2) Anthropogenic contamination from pesticide and fertilizer use and industrial waste discharge is also a main source of fluoride in the groundwater. 3) Evaporation and ion effects favor the enrichment of fluoride in groundwater by encouraging the removal of Ca via precipitation. 4) The desorption of fluoride from mineral/organic matter surfaces is enhanced under alkaline conditions and a high HCO3 content in groundwater.",,,,,
8CHDFH2M,journalArticle,2010,"Struyf, Eric; Smis, Adriaan; Van Damme, Stefan; Garnier, Josette; Govers, Gerard; Van Wesemael, Bas; Conley, Daniel J.; Batelaan, Okke; Frot, Elisabeth; Clymans, Wim; Vandevenne, Floor; Lancelot, Christiane; Goos, Peter; Meire, Patrick",Historical land use change has lowered terrestrial silica mobilization,Nature Communications,,2041-1723,10.1038/ncomms1128,http://www.nature.com/articles/ncomms1128,"Continental export of Si to the coastal zone is closely linked to the ocean carbon sink and to the dynamics of phytoplankton blooms in coastal ecosystems. Presently, however, the impact of human cultivation of the landscape on terrestrial Si fluxes remains unquantified and is not incorporated in models for terrestrial Si mobilization. In this paper, we show that land use is the most important controlling factor of Si mobilization in temperate European watersheds, with sustained cultivation (>250 years) of formerly forested areas leading to a twofold to threefold decrease in baseflow delivery of Si. This is a breakthrough in our understanding of the biogeochemical Si cycle: it shows that human cultivation of the landscape should be recognized as an important controlling factor of terrestrial Si fluxes.",,,,,
92RRG5XY,journalArticle,1997,"Gaillardet, Jérôme; Dupre, Bernard; Allegre, Claude J.; Négrel, Philippe",Chemical and physical denudation in the Amazon River Basin,Chemical Geology,,0009-2541,10.1016/S0009-2541(97)00074-0,http://www.sciencedirect.com/science/article/pii/S0009254197000740,"We present major and trace element data on the suspended and dissolved phases of the Amazon River and its main tributaries. The Sr isotopic composition of the dissolved load is also reported. Special attention is paid to the abundances of REE and to their fractionation between the dissolved and suspended phase. The rivers of the Amazon Basin are among the richest in dissolved REE and are similar to the rivers of the Congo system. However a greater range of fractionation between LREE and HREE is reported here. At a global scale the rivers have intermediate patterns between those of the Congo system and those of high pH rivers such as the Indus and Mississippi rivers. Only few elements (Rb, U, Ba, K, Na, Sr and Ca) are mobilized by silicate weathering. These elements are strongly depleted in the suspended phase with respect to upper continental crust. In the dissolved load, these elements are controlled by atmospheric inputs and the weathering of the main lithologies. We propose a model based on mass budget equations, that allow the proportions derived from the different sources to be calculated. As a consequence silicate, carbonate and evaporite weathering rates can be estimated as well as the consumption of CO2 by weathering of each of these lithologies. Physical weathering rates can be estimated by two complementary approaches. On the one hand, the multi-year average of suspended sediments yields can be used to estimate physical denudation. On the other hand, we have developed a steady-state model of erosion that allows us to calculate physical erosion rates on the basis of the dissolved load of rivers. A mean crustal composition is assumed in this model for the rock sources of the drainage basins. Comparison of the rates predicted by the model to the observed rates shows good agreement for the lowland rivers, but a strong discrepancy for the rivers derived from the Andes. Andean rivers (Solimoes, Madeira and Amazon) have observed sediment yields much greater than those predicted according to the steady-state model of chemical and physical weathering. Two interpretations can account for this inconsistency. The first is that these rivers are not in steady state and hence that the soils are being destroyed. The second requires that the local continental crust is different from the average continental crust of Taylor and McLennan, and contains a large proportion of sedimentary rocks. Using the measured sediment yields, and assuming a steady state, we can estimate the amount of sediment recycling for each drainage basin. For the Amazon at Santarem, we find that at least 25% of the mass of the upper continental crust of the Amazon drainage basin is constituted of recycled material.",,,,,
E2C6FYQE,journalArticle,1964,"Davis, Stanley N.",Silica in streams and ground water,American Journal of Science,,"0002-9599, 1945-452X",10.2475/ajs.262.7.870,http://www.ajsonline.org/content/262/7/870,"A survey of published chemical analyses shows that the silica contentof natural water is less variable than any of the other maior dissolved constituents. The median value of silica for ground water is 17 ppm and for stream water, about 14 ppm. Concentrations of less than 3 p m are found only in lake and ocean water or water derived recently from rain or snow. The most important factor controlling silica in ground water is the rock type in con- tact with the water. Salinity, ph, and relative percentage of various ions do not normally have a measurable influence on natural silica concentrations. Biological activity removes silicafrom some streams, particularly those passing through lakes. The total quantity of silica exportedin solution by streams is related directly to the amount of runoff. Ratesof silica removal vary from less than0.01 mg/cm'/yr in deserts to more than 2.0 mg/cm*/r inhumid mountainous regions. Vegetation and surface tem. perature show no discernible effects either on rates of removal or on absolute silica concentrations. Consequently, the common notion that moist tropical climates produce a more rapid removal of silica than do moist temperate and moist subarctic climates needs further scrutiny.",,,,,
X2LI6C68,journalArticle,2011,"Calmels, Damien; Galy, Albert; Hovius, Niels; Bickle, Mike; West, A. Joshua; Chen, Meng-Chiang; Chapman, Hazel","Contribution of deep groundwater to the weathering budget in a rapidly eroding mountain belt, Taiwan",Earth and Planetary Science Letters,,0012-821X,10.1016/j.epsl.2010.12.032,http://www.sciencedirect.com/science/article/pii/S0012821X10007946,"We analysed the water chemistry of a 6-yr time series of the Liwu River, Taiwan, as well as spot samples of tributaries and groundwater. In this steep and well-drained catchment impacted by typhoon events, the river carries a high dissolved load (average of 320mg/L) dominated by Ca2+ and Mg2+ (73Eq% and 21Eq% of the cationic charge), and SO42− and HCO3− (48Eq% and 51Eq% of the anionic charge). Hysteresis in Ca/Na-discharge data and absence of hysteresis in matching Ca/Sr-discharge data are interpreted as reflecting a mixing of three components. While river chemistry at low- to medium-flow reveals a binary mixing between a rapid surface runoff characterised by the chemistry of first-order tributaries and a component likely to have a deep groundwater chemistry, samples collected at high-flow show the contribution of a third water source not immediately mobile and therefore called slow surface runoff. The relative contribution of these end-members has been estimated through hydrograph separations, and then validated by modelling of the observed riverine 87Sr/86Sr variations (0.0013) during a typhoon. The 37-yr average estimates that 16±3% of the river discharge comes from the deep groundwater reservoir while slow and rapid surface runoff provide 21±5% and 63±5%, respectively. The slow surface runoff is the least well characterised of the end-members but the modelled evolution of water chemistry along its flow-path suggests that cations (except Na) and sulphate are removed from the water in the slow surface runoff source region by the combination of biological uptake, bacterial reduction and pedogenesis (clays and carbonate precipitation) — processes that might be partly driven by the evapo-transpiration that removes 75% of the water within this reservoir. The silicate cation denudation rate for the Liwu is 18tkm−2yr−1, which is one of highest measured so far in the world for felsic lithologies. This high value has to be modulated by the facts that 1) deep chemical weathering of silicate accounts for more than 1/3 of this flux, and 2) sulphuric-acid weathering is significant in this catchment. In Taiwan, the input of chemicals in river flux from deep reservoirs is likely to be promoted by rapid uplift of fractured rocks, but the underlying processes (chemical reaction in a porous media) responsible for such significant groundwater contribution are also present in alluvial and sedimentary basins.",,,,,
3X25NBUP,journalArticle,2007,"Williams, E. L.; Walter, L. M.; Ku, T. C. W.; Baptist, K. K.; Budai, J. M.; Kling, G. W.",Silicate weathering in temperate forest soils: insights from a field experiment,Biogeochemistry,,1573-515X,10.1007/s10533-006-9057-z,https://doi.org/10.1007/s10533-006-9057-z,"Few studies of silicate mineral weathering have been conducted in carbonate-bearing temperate forest soils. With climate and vegetation held constant, we compared soil mineralogy and major element chemistry of soil waters from a carbonate-free temperate aspen forest site in the Cheboygan watershed, northern Michigan, with that from carbonate-containing soils from experimental tree-growth chambers (low- vs. high- fertility). All soils were well-drained sands (quartz, Na-rich plagioclase, and K-feldspar) with minor amounts of carbonate present only in the experimentally manipulated soils. The Na+ concentrations in soil waters corrected for atmospheric deposition (Na*) were used to compare relative rates of plagioclase feldspar weathering across sites. In natural soil water profiles, maximum concentrations of Na*, Si, and dissolved organic carbon (DOC) were observed by a depth of 15 cm, a soil zone free of carbonate minerals. Mean Na* and DOC concentrations were different in the three soils, and increased in the order natural soil < low-fertility chambers < high-fertility chambers. While low pH environments are generally viewed as enhancing weathering rates, here higher Na* appears to be related to high DOC, which is consistent with observed increases in active organic functional groups as pH increases. Our results suggest that under a specific vegetative cover, the soil carbon environment affects the weathering flux observed. Our study also suggests that disturbed soils provide an enhanced physical and chemical environment for weathering. Generalized silicate weathering models may benefit from including the enhancing effects of organic anions at moderate pH in addition to precipitation and temperature.",,,,,
CMTPTKPQ,journalArticle,1999,"Gaillardet, J.; Dupré, B.; Louvat, P.; Allègre, C. J.",Global silicate weathering and CO2 consumption rates deduced from the chemistry of large rivers,Chemical Geology,,0009-2541,10.1016/S0009-2541(99)00031-5,http://www.sciencedirect.com/science/article/pii/S0009254199000315,"The main problem associated with the study of silicate weathering using river dissolved load is that the main control of solute chemistry is lithology and that all rivers are influenced by carbonate and evaporite weathering. In this paper, newly compiled data on the 60 largest rivers of the world are used to calculate the contribution of main lithologies, rain and atmosphere to river dissolved loads. Technically, an inverse method is used to solve a model containing of a series of mass budget equations relating river concentrations to chemical weathering products and atmospheric inputs. New estimates of global silicate weathering fluxes and associated CO2 consumption fluxes are given. The role of basalt weathering on oceanic islands and volcanic arcs is emphasized. For each large river, an attempt is made to calculate chemical weathering rates of silicates per unit area. Only relative chemical weathering rates can be calculated. The relationships between the chemical weathering rates of silicates and the possible controlling parameters are explored. A combined effect of runoff-temperature and physical denudation seems to explain the variability of modern silicate chemical weathering rates. The results of this study highlight the coupling between the physical and the chemical processes of silicate weathering. Only an active physical denudation of continental rocks seems to be able to maintain high chemical weathering rates and significant CO2 consumption rates.",,,,,
9RZ84S6U,journalArticle,1994,"Drever, James I.",The effect of land plants on weathering rates of silicate minerals,Geochimica et Cosmochimica Acta,,167037,10.1016/0016-7037(94)90013-2,https://linkinghub.elsevier.com/retrieve/pii/0016703794900132,"Land plants and their associated microbiota directly affect silicate mineral weathering in several ways: by generation of chelating ligands, by modifying pH through production of CO2 or organic acids, and by altering the physical properties of a soil, particularly the exposed surface areas of minerals and the residence time of water.",,,,,
